2025-09-08 06:21:26,655 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_015","exec_id":"286787","ord_status":"2","avgpx":"0.9325400000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"263","35":"8","34":"5","49":"CENTROID_SOL","52":"20250908-13:21:24.174","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9325400000","11":"ord_20250908_015","14":"10000.00","17":"286787","31":"0.9325400000","32":"10000.00","37":"286787","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-13:21:24","150":"2","151":"0.00","10":"159"},"ts":1757337686650}}
2025-09-08 06:21:26,659 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_015","exec_id":"286787","ord_status":"2","avgpx":"0.9325400000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"263","35":"8","34":"5","49":"CENTROID_SOL","52":"20250908-13:21:24.174","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9325400000","11":"ord_20250908_015","14":"10000.00","17":"286787","31":"0.9325400000","32":"10000.00","37":"286787","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-13:21:24","150":"2","151":"0.00","10":"159"},"ts":1757337686650}}
2025-09-08 08:48:04,418 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_006","exec_id":"286788","ord_status":"8","side":"SELL","avgpx":"0.0000000000","cumqty":"0.00","raw":{"8":"FIX.4.4","9":"264","35":"8","34":"4","49":"CENTROID_SOL","52":"20250908-15:48:04.378","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.0000000000","11":"ord_20250908_006","14":"0.00","17":"286788","31":"0.0000000000","32":"0","37":"286788","38":"10000.00","39":"8","40":"1","54":"2","55":"EURCHF","58":"Duplicate CLOrdID","59":"3","60":"20250908-15:48:04","150":"8","151":"10000.00","10":"156"},"ts":1757346484411}}
2025-09-08 08:48:04,420 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_006","exec_id":"286788","ord_status":"8","side":"SELL","avgpx":"0.0000000000","cumqty":"0.00","raw":{"8":"FIX.4.4","9":"264","35":"8","34":"4","49":"CENTROID_SOL","52":"20250908-15:48:04.378","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.0000000000","11":"ord_20250908_006","14":"0.00","17":"286788","31":"0.0000000000","32":"0","37":"286788","38":"10000.00","39":"8","40":"1","54":"2","55":"EURCHF","58":"Duplicate CLOrdID","59":"3","60":"20250908-15:48:04","150":"8","151":"10000.00","10":"156"},"ts":1757346484411}}
2025-09-08 09:13:27,343 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_007","exec_id":"286790","ord_status":"8","side":"SELL","avgpx":"0.0000000000","cumqty":"0.00","raw":{"8":"FIX.4.4","9":"264","35":"8","34":"3","49":"CENTROID_SOL","52":"20250908-16:13:27.411","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.0000000000","11":"ord_20250908_007","14":"0.00","17":"286790","31":"0.0000000000","32":"0","37":"286790","38":"10000.00","39":"8","40":"1","54":"2","55":"EURCHF","58":"Duplicate CLOrdID","59":"3","60":"20250908-16:13:27","150":"8","151":"10000.00","10":"126"},"ts":1757348007336}}
2025-09-08 09:13:27,344 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_007","exec_id":"286790","ord_status":"8","side":"SELL","avgpx":"0.0000000000","cumqty":"0.00","raw":{"8":"FIX.4.4","9":"264","35":"8","34":"3","49":"CENTROID_SOL","52":"20250908-16:13:27.411","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.0000000000","11":"ord_20250908_007","14":"0.00","17":"286790","31":"0.0000000000","32":"0","37":"286790","38":"10000.00","39":"8","40":"1","54":"2","55":"EURCHF","58":"Duplicate CLOrdID","59":"3","60":"20250908-16:13:27","150":"8","151":"10000.00","10":"126"},"ts":1757348007336}}
2025-09-08 09:20:31,146 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_008","exec_id":"286791","ord_status":"2","side":"SELL","avgpx":"0.9325400000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"263","35":"8","34":"4","49":"CENTROID_SOL","52":"20250908-16:20:30.969","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9325400000","11":"ord_20250908_008","14":"10000.00","17":"286791","31":"0.9325400000","32":"10000.00","37":"286791","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-16:20:30","150":"2","151":"0.00","10":"160"},"ts":1757348431140}}
2025-09-08 09:20:31,147 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_008","exec_id":"286791","ord_status":"2","side":"SELL","avgpx":"0.9325400000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"263","35":"8","34":"4","49":"CENTROID_SOL","52":"20250908-16:20:30.969","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9325400000","11":"ord_20250908_008","14":"10000.00","17":"286791","31":"0.9325400000","32":"10000.00","37":"286791","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-16:20:30","150":"2","151":"0.00","10":"160"},"ts":1757348431140}}
2025-09-08 09:21:35,000 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_009","exec_id":"286792","ord_status":"2","side":"SELL","avgpx":"0.9325400000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"263","35":"8","34":"8","49":"CENTROID_SOL","52":"20250908-16:21:34.650","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9325400000","11":"ord_20250908_009","14":"10000.00","17":"286792","31":"0.9325400000","32":"10000.00","37":"286792","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-16:21:34","150":"2","151":"0.00","10":"164"},"ts":1757348494991}}
2025-09-08 09:21:35,003 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_009","exec_id":"286792","ord_status":"2","side":"SELL","avgpx":"0.9325400000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"263","35":"8","34":"8","49":"CENTROID_SOL","52":"20250908-16:21:34.650","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9325400000","11":"ord_20250908_009","14":"10000.00","17":"286792","31":"0.9325400000","32":"10000.00","37":"286792","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-16:21:34","150":"2","151":"0.00","10":"164"},"ts":1757348494991}}
2025-09-08 09:26:48,791 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_010","exec_id":"286793","ord_status":"2","side":"SELL","avgpx":"0.9322900000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"264","35":"8","34":"20","49":"CENTROID_SOL","52":"20250908-16:26:48.613","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9322900000","11":"ord_20250908_010","14":"10000.00","17":"286793","31":"0.9322900000","32":"10000.00","37":"286793","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-16:26:48","150":"2","151":"0.00","10":"224"},"ts":1757348808786}}
2025-09-08 09:26:48,792 INFO {"transport":"TCP","direction":"in","message":{"type":"execution_report","order_id":"ord_20250908_010","exec_id":"286793","ord_status":"2","side":"SELL","avgpx":"0.9322900000","cumqty":"10000.00","raw":{"8":"FIX.4.4","9":"264","35":"8","34":"20","49":"CENTROID_SOL","52":"20250908-16:26:48.613","56":"TD_LIVEFX","1":"LIVEFX_TEM","6":"0.9322900000","11":"ord_20250908_010","14":"10000.00","17":"286793","31":"0.9322900000","32":"10000.00","37":"286793","38":"10000.00","39":"2","40":"1","54":"2","55":"EURCHF","58":"Processed","59":"3","60":"20250908-16:26:48","150":"2","151":"0.00","10":"224"},"ts":1757348808786}}
